,0
0.0,0.0
0.5,0.9999948673540054
1.0,0.9999891684293906
1.5,0.9999859274834738
2.0,0.9999842335863107
2.5,0.9999827230547719
3.0,0.9999801797704692
3.5,0.9999766730822653
4.0,0.9999726392359981
4.5,0.9999685870913207
5.0,0.9999648316231138
5.5,0.9999614227446278
6.0,0.9999582134725423
6.5,0.9999550196106327
7.0,0.9999517299981673
7.5,0.9999483298115293
8.0,0.999944866696653
8.5,0.9999414005178366
9.0,0.9999379675579264
9.5,0.9999345717136467
10.0,0.999931196197427
10.5,0.9999278209006535
11.0,0.9999244340755323
