,0
0.0,0.0
0.5,0.9999948673540054
1.0,0.9999901472231498
1.5,0.9999850806150856
2.0,0.9999874745890034
2.5,0.9999876237044291
3.0,0.9999871049669204
3.5,0.9999848714301642
4.0,0.9999853049452068
4.5,0.999983967902643
5.0,0.9999834139464151
5.5,0.9999810858622082
6.0,0.9999802197444283
6.5,0.9999798372382254
7.0,0.9999778479651242
7.5,0.999977241691687
8.0,0.9999764743536781
8.5,0.9999750032593558
9.0,0.9999737277660457
9.5,0.9999729344807435
10.0,0.9999721142505671
10.5,0.9999713772269905
11.0,0.9999701608955498
